received_at,session,participant,event_time,rel_ms,view,event,props,user_agent
8/3/2026,sms95x56001ncg,P6,8/3/2026,255982519,view-home,idle,"{""view"":""view-home"",""ms"":8083}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,255990579,view-home,idle,"{""view"":""view-home"",""ms"":8059}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,253966048,view-home,idle,"{""view"":""view-home"",""ms"":8060}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,253974162,view-home,idle,"{""view"":""view-home"",""ms"":8110}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,255998692,view-home,idle,"{""view"":""view-home"",""ms"":8112}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms94cu2pzv6uf,P2,8/3/2026,258635399,view-condition,idle,"{""view"":""view-condition"",""ms"":59915}","Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36"
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,253982267,view-home,idle,"{""view"":""view-home"",""ms"":8101}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256006790,view-home,idle,"{""view"":""view-home"",""ms"":8097}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256014892,view-home,idle,"{""view"":""view-home"",""ms"":8102}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,253990359,view-home,idle,"{""view"":""view-home"",""ms"":8089}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,253998431,view-home,idle,"{""view"":""view-home"",""ms"":8067}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256022962,view-home,idle,"{""view"":""view-home"",""ms"":8068}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms974ja5jmsq7,P7,8/3/2026,254006537,view-home,idle,"{""view"":""view-home"",""ms"":8102}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256031073,view-home,idle,"{""view"":""view-home"",""ms"":8111}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
8/3/2026,sms95x56001ncg,P6,8/3/2026,256039164,view-home,idle,"{""view"":""view-home"",""ms"":8090}",Mozilla/5.0 (Macintosh; Intel Mac OS X 10.15; rv:152.0) Gecko/20100101 Firefox/152.0
